collection  size    hash    url
cdc                                 123.8MB  d0bc10d20e258ca4  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241115232311889-20742304-bc9-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=b0c4b8c9fd11bc14958f2613c6865f234f6c60d25cab2286002ed2daf8578384
cdc                                4956.3MB  07d5c02ddb92a19c  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241118163308469-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=23144200464fbed2d59289c974c130af2dda7aec848a02604294c5f23243f12c
cdc                                6400.3MB  e8798492754e5c01  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241117160007947-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=2fa636f9ab489c52f99bb7a0f33436d8fe7f16c0b6144e446ad3716ae12aeed9
cdc                                2872.5MB  20b0d8b2ff20e6f7  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241118213432181-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=37b2765636ef0f82301236df1a8caec2ace2e387340e4bc93800fdb8927644b3
cdc                                5672.5MB  9076b6ff0c830e31  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241116084933428-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=1236058eba051eceeb6e5a231ab7c118e4ae0267958496dedc2fa7bd0444cd3d
cdc                                5678.9MB  ec7a7eaee9ba78fd  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241118003052224-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=8aab54a88a3c362d4c99016cdd2cdf7bc715cac0ede031dcd8cbb3611c0265ac
cdc                                9155.2MB  7daca696292948d3  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241117103511875-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=e7edcaeaa3f9a03a8d7db57a3a3650ea1617eabeb7cac3011b6376a0f35647bc
cdc                                6350.9MB  63b4375ec2e7c92c  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241117071547101-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=7661d3c92a50d89680d436b4ab122bf8a173f04621c7ce99e5e4e61b0276aca5
cdc                                7374.7MB  f646f038906ff25c  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241117104222090-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=be195e7538bb9e69bcf3b4c4b6870a793b79c58d90c27baa2bd051dc8599c466
cdc                                5892.6MB  bb05fd39735271b6  https://files.browsertrix.com/crawls/75f05fd9-ffe0-447d-be70-66d1e4bc4b6d/20241118011707893-19d6507f-b15-0.wacz?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=jvxy5byse23n2ipxjgqhmjaysega%2F20260716%2Feu-central-1%2Fs3%2Faws4_request&X-Amz-Date=20260716T090644Z&X-Amz-Expires=172800&X-Amz-SignedHeaders=host&X-Amz-Signature=773af745084fef98a6d96d4ac607df78caa9d0dfbd4a37318a5a1f3fc0318a26
